Category,Event Name (Constant),Event Value (CleverTap),Implemented?,Notes
App Launch & Onboarding,appLaunched,app_launched,Yes,Fired in splash.dart initState
App Launch & Onboarding,splashScreenViewed,splash_screen_viewed,Yes,Fired in splash.dart initState
App Launch & Onboarding,welcomeScreenViewed,welcome_screen_viewed,Yes,Fired in onboarding.dart initState
App Launch & Onboarding,getStartedClicked,get_started_clicked,Yes,Fired on CTA tap in onboarding.dart
App Launch & Onboarding,welcomeScreenCompleted,welcome_screen_completed,No,Defined only
App Launch & Onboarding,welcomeScreenAbandoned,welcome_screen_abandoned,No,Defined only
App Launch & Onboarding,welcomeScreenTimeExceeded,welcome_screen_time_exceeded,No,Defined only
Phone Verification,phoneScreenViewed,phone_screen_viewed,Yes,Fired in phone_number.dart initState
Phone Verification,phoneNumberEntered,phone_number_entered,Yes,Fired on text change
Phone Verification,phoneSubmitClicked,phone_submit_clicked,Yes,Fired on button press
Phone Verification,otpSentSuccess,otp_sent_success,Yes,Fired in otp_verify.dart initState
Phone Verification,otpScreenViewed,otp_screen_viewed,Yes,Fired in otp_verify.dart initState
Phone Verification,otpEntered,otp_entered,No,Defined only
Phone Verification,otpVerifiedSuccess,otp_verified_success,No,Defined only
Phone Verification,phoneVerificationCompleted,phone_verification_completed,No,Defined only
Phone Verification,phoneScreenAbandoned,phone_screen_abandoned,No,Defined only
Phone Verification,phoneNumberInvalid,phone_number_invalid,No,Defined only
Phone Verification,otpSendFailed,otp_send_failed,No,Defined only
Phone Verification,otpScreenAbandoned,otp_screen_abandoned,No,Defined only
Phone Verification,otpVerificationFailed,otp_verification_failed,No,Defined only
Phone Verification,otpMaxAttemptsReached,otp_max_attempts_reached,No,Defined only
Phone Verification,phoneNumberOtpSent,phone_number_otp_sent,No,Legacy
Phone Verification,phoneNumberOtpSendFailed,phone_number_otp_send_failed,No,Legacy
Phone Verification,otpVerifiedFailed,otp_verified_failed,No,Legacy
Phone Verification,otpResendClicked,otp_resend_clicked,No,Legacy
Phone Verification,otpResendSuccess,otp_resend_success,No,Legacy
Phone Verification,otpResendFailure,otp_resend_failure,No,Legacy
Phone Verification,phoneNumberEditClicked,phone_number_edit_clicked,No,Legacy
Email Verification,emailScreenViewed,email_screen_viewed,No,Defined only
Email Verification,emailEntered,email_entered,No,Defined only
Email Verification,emailSubmitClicked,email_submit_clicked,No,Defined only
Email Verification,emailOtpSent,email_otp_sent,No,Defined only
Email Verification,emailOtpScreenViewed,email_otp_screen_viewed,No,Defined only
Email Verification,emailOtpEntered,email_otp_entered,No,Defined only
Email Verification,emailVerifiedSuccess,email_verified_success,No,Defined only
Email Verification,emailVerificationCompleted,email_verification_completed,No,Defined only
Email Verification,emailScreenAbandoned,email_screen_abandoned,No,Defined only
Email Verification,emailOtpNotReceived,email_otp_not_received,No,Defined only
Email Verification,emailVerificationFailed,email_verification_failed,No,Defined only
Email Verification,emailSkipClicked,email_skip_clicked,No,Defined only
Email Verification,googleSignInClicked,google_sign_in_clicked,No,Defined only
Email Verification,googleSignInSuccess,google_sign_in_success,No,Defined only
Email Verification,googleSignInFailed,google_sign_in_failed,No,Defined only
Email Verification,googleSignInCancelled,google_sign_in_cancelled,No,Defined only
Email Verification,emailOtpContinueClicked,email_otp_continue_clicked,No,Defined only
Email Verification,emailOtpSendSuccess,email_otp_send_success,No,Defined only
Email Verification,emailOtpSendFailed,email_otp_send_failed,No,Defined only
Email Verification,emailOtpVerifySuccess,email_otp_verify_success,No,Defined only
Email Verification,emailOtpVerifyFailed,email_otp_verify_failed,No,Defined only
Email Verification,emailOtpResendClicked,email_otp_resend_clicked,No,Defined only
Email Verification,emailOtpEditEmailClicked,email_otp_edit_email_clicked,No,Defined only
Email Verification,emailOtpVerifyClicked,email_otp_verify_clicked,No,Defined only
Email Verification,emailOtpVerified,email_otp_verified,No,Defined only
Email Verification,emailOtpResendSuccess,email_otp_resend_success,No,Defined only
Email Verification,emailOtpResendFailure,email_otp_resend_failure,No,Defined only
Email Verification,emailOtpEditClicked,email_otp_edit_clicked,No,Defined only
PAN Verification,panScreenViewed,pan_screen_viewed,Yes,Fired in pan_card_verification.dart initState
PAN Verification,panMethodSelected,pan_method_selected,No,Defined only
PAN Verification,panScanned,pan_scanned,No,Defined only
PAN Verification,panManualEntered,pan_manual_entered,Yes,Fired in pan_details.dart initState
PAN Verification,panSubmitClicked,pan_submit_clicked,No,Defined only
PAN Verification,panVerificationProcessing,pan_verification_processing,No,Defined only
PAN Verification,panVerifiedSuccess,pan_verified_success,No,Defined only
PAN Verification,panConsentShown,pan_consent_shown,Yes,Fired in pan_consent.dart build
PAN Verification,panConsentAccepted,pan_consent_accepted,No,Defined only
PAN Verification,panVerificationCompleted,pan_verification_completed,No,Defined only
PAN Verification,panScreenAbandoned,pan_screen_abandoned,No,Defined only
PAN Verification,panScanFailed,pan_scan_failed,No,Defined only
PAN Verification,panManualEntryFailed,pan_manual_entry_failed,No,Defined only
PAN Verification,panVerificationFailed,pan_verification_failed,No,Defined only
PAN Verification,panConsentDeclined,pan_consent_declined,No,Defined only
PAN Verification,panVerificationTimeout,pan_verification_timeout,No,Defined only
PAN Verification,panVerifyButtonClicked,pan_verify_button_clicked,No,Defined only
PAN Verification,panVerificationSuccess,pan_verification_success,No,Defined only
PAN Verification,panManualEntryClicked,pan_manual_entry_clicked,No,Defined only
PAN Verification,panHelpDontKnowClicked,pan_help_dont_know_clicked,No,Defined only
PAN Verification,panWhyClicked,pan_why_clicked,No,Defined only
PAN Verification,panScreenLogoutClicked,pan_screen_logout_clicked,No,Defined only
PAN Verification,panConsentConfirmClicked,pan_consent_confirm_clicked,No,Defined only
PAN Verification,panConsentSuccess,pan_consent_success,No,Defined only
PAN Verification,panConsentFailed,pan_consent_failed,No,Defined only
PAN Verification,panConsentCorrectClicked,pan_consent_correct_clicked,No,Defined only
PAN Verification,panManualSubmitClicked,pan_manual_submit_clicked,No,Defined only
PAN Verification,panManualVerificationSuccess,pan_manual_verification_success,No,Defined only
PAN Verification,panManualVerificationFailed,pan_manual_verification_failed,No,Defined only
Personalization,personalizeScreenViewed,personalize_screen_viewed,No,Defined only
Personalization,personalizeOptionsDisplayed,personalize_options_displayed,No,Defined only
Personalization,personalizeOptionSelected,personalize_option_selected,No,Defined only
