Funnel Name,Step Number,Event Name,Event Description,Event Type,Drop-off Risk,Priority Level
ONBOARDING FUNNEL,1,app_launched,App opened,Screen View,Low,High
ONBOARDING FUNNEL,2,splash_screen_viewed,Splash screen shown,Screen View,Low,High
ONBOARDING FUNNEL,3,welcome_screen_viewed,Welcome screen displayed,Screen View,Medium,High
ONBOARDING FUNNEL,4,get_started_clicked,User clicks Get Started,Action,Medium,High
ONBOARDING FUNNEL,5,welcome_screen_completed,User proceeds to phone verification,Completion,Low,High
ONBOARDING FUNNEL,Drop-off,welcome_screen_abandonxed,User closes app on welcome screen,Drop-off,High,Critical
ONBOARDING FUNNEL,Drop-off,welcome_screen_time_exceeded,User spends >2 minutes without action,Drop-off,Medium,High
ONBOARDING FUNNEL,6,phone_screen_viewed,Phone number screen shown,Screen View,Medium,Critical
ONBOARDING FUNNEL,7,phone_number_entered,User enters phone number,Action,Medium,Critical
ONBOARDING FUNNEL,8,phone_submit_clicked,User clicks Send OTP,Action,Medium,Critical
ONBOARDING FUNNEL,9,otp_sent_success,OTP sent successfully,Success,Low,Critical
ONBOARDING FUNNEL,10,otp_screen_viewed,OTP screen displayed,Screen View,Medium,Critical
ONBOARDING FUNNEL,11,otp_entered,User enters OTP,Action,Medium,Critical
ONBOARDING FUNNEL,12,otp_verified_success,OTP verified successfully,Success,Low,Critical
ONBOARDING FUNNEL,13,phone_verification_completed,Phone verification complete,Completion,Low,Critical
ONBOARDING FUNNEL,Drop-off,phone_screen_abandoned,User exits on phone entry,Drop-off,High,Critical
ONBOARDING FUNNEL,Drop-off,phone_number_invalid,Invalid phone number entered,Error,High,Critical
ONBOARDING FUNNEL,Drop-off,otp_send_failed,OTP not sent (network/server error),Error,High,Critical
ONBOARDING FUNNEL,Drop-off,otp_screen_abandoned,User exits on OTP screen,Drop-off,High,Critical
ONBOARDING FUNNEL,Drop-off,otp_verification_failed,OTP verification fails,Error,High,Critical
ONBOARDING FUNNEL,Drop-off,otp_resend_clicked,User requests new OTP (potential drop-off),Action,Medium,Critical
ONBOARDING FUNNEL,Drop-off,otp_max_attempts_reached,User fails OTP verification multiple times,Error,High,Critical
ONBOARDING FUNNEL,14,email_screen_viewed,Email screen shown,Screen View,Medium,Medium
ONBOARDING FUNNEL,15,email_entered,User enters email,Action,Medium,Medium
ONBOARDING FUNNEL,16,email_submit_clicked,User submits email,Action,Medium,Medium
ONBOARDING FUNNEL,17,email_otp_sent,Email OTP sent,Success,Low,Medium
ONBOARDING FUNNEL,18,email_otp_screen_viewed,Email OTP screen shown,Screen View,Medium,Medium
ONBOARDING FUNNEL,19,email_otp_entered,User enters email OTP,Action,Medium,Medium
ONBOARDING FUNNEL,20,email_verified_success,Email verified,Success,Low,Medium
ONBOARDING FUNNEL,21,email_verification_completed,Email verification complete,Completion,Low,Medium
ONBOARDING FUNNEL,Drop-off,email_screen_abandoned,User exits on email screen,Drop-off,Medium,Medium
ONBOARDING FUNNEL,Drop-off,email_otp_not_received,User doesn't receive email OTP,Error,High,Medium
ONBOARDING FUNNEL,Drop-off,email_verification_failed,Email OTP verification fails,Error,High,Medium
ONBOARDING FUNNEL,Drop-off,email_skip_clicked,User chooses to skip email verification,Action,Medium,Medium
ONBOARDING FUNNEL,22,pan_screen_viewed,PAN verification screen shown,Screen View,Medium,Critical
ONBOARDING FUNNEL,23,pan_method_selected,User chooses scan/manual entry,Action,Medium,Critical
ONBOARDING FUNNEL,24,pan_scanned,PAN card scanned successfully,Success,Low,Critical
ONBOARDING FUNNEL,25,pan_manual_entered,PAN entered manually,Action,Medium,Critical
ONBOARDING FUNNEL,26,pan_submit_clicked,User submits PAN,Action,Medium,Critical
ONBOARDING FUNNEL,27,pan_verification_processing,PAN verification in progress,Processing,Low,Critical
ONBOARDING FUNNEL,28,pan_verified_success,PAN verified successfully,Success,Low,Critical
ONBOARDING FUNNEL,29,pan_consent_shown,PAN consent displayed,Screen View,Medium,Critical
ONBOARDING FUNNEL,30,pan_consent_accepted,User accepts consent,Action,Medium,Critical
ONBOARDING FUNNEL,31,pan_verification_completed,PAN verification complete,Completion,Low,Critical
ONBOARDING FUNNEL,Drop-off,pan_screen_abandoned,User exits on PAN screen,Drop-off,High,Critical
ONBOARDING FUNNEL,Drop-off,pan_scan_failed,PAN scanning fails,Error,High,Critical
ONBOARDING FUNNEL,Drop-off,pan_manual_entry_failed,Manual PAN entry fails,Error,High,Critical
ONBOARDING FUNNEL,Drop-off,pan_verification_failed,PAN verification fails,Error,High,Critical
ONBOARDING FUNNEL,Drop-off,pan_consent_declined,User declines PAN consent,Action,High,Critical
ONBOARDING FUNNEL,Drop-off,pan_verification_timeout,PAN verification times out,Error,High,Critical
ONBOARDING FUNNEL,32,personalize_screen_viewed,Personalization screen shown,Screen View,Medium,Medium
ONBOARDING FUNNEL,33,personalize_options_displayed,Options displayed to user,Screen View,Low,Medium
ONBOARDING FUNNEL,34,personalize_option_selected,User selects options,Action,Medium,Medium
ONBOARDING FUNNEL,35,personalize_continue_clicked,User clicks continue,Action,Medium,Medium
ONBOARDING FUNNEL,36,personalization_completed,Personalization complete,Completion,Low,Medium
ONBOARDING FUNNEL,Drop-off,personalize_screen_abandoned,User exits on personalization,Drop-off,Medium,Medium
